Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,AFG,Sector,"Electricity, Gas and Water",2.2390260299292972
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,ALB,Sector,"Electricity, Gas and Water",1.8829643310854751
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,DZA,Sector,"Electricity, Gas and Water",0.08380897432309332
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,AND,Sector,"Electricity, Gas and Water",0.2017318152530439
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,AGO,Sector,"Electricity, Gas and Water",0.10594650407104395
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,ATG,Sector,"Electricity, Gas and Water",16.705877932282732
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,ARG,Sector,"Electricity, Gas and Water",0.1999795988093469
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,ARM,Sector,"Electricity, Gas and Water",1.3802191822904035
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,ABW,Sector,"Electricity, Gas and Water",6.307954169201631
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,AUS,Sector,"Electricity, Gas and Water",0.1794563408476939
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/M EUR,AUT,Sector,"Electricity, Gas and Water",0.20144293417193368
